,Categories,year,Title,link
0,Chemistry/Food chemistry,2019,PROCESSES AND DEVICES FOR FREEZING ORGANIC PRODUCTS,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=ES2966121T3
1,Chemistry/Food chemistry,2019,PROCESS AND DEVICE FOR FREEZING ORGANIC PRODUCTS,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=EP3914094B1
2,Chemistry/Food chemistry,2019,PROCESS AND DEVICE FOR FREEZING ORGANIC PRODUCTS,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=EP3914094C0
3,Chemistry/Food chemistry,2019,Processes and devices for freezing organic products,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US11503845B2
4,Other fields/Other consumer goods,2019,Processes and devices for freezing organic products,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US11503845B2
5,Chemistry/Food chemistry,2019,PROCESSES AND DEVICES FOR FREEZING ORGANIC PRODUCTS,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=EP3914094A4
6,Chemistry/Food chemistry,2019,PROCESSES AND DEVICES FOR FREEZING ORGANIC PRODUCTS,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=EP3914094A1
7,Chemistry/Food chemistry,2019,PROCESSES AND DEVICES FOR FREEZING ORGANIC PRODUCTS,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2021337836A1
8,Other fields/Other consumer goods,2019,PROCESSES AND DEVICES FOR FREEZING ORGANIC PRODUCTS,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2021337836A1
9,Chemistry/Food chemistry,2019,Processes and devices for freezing organic products,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=AU2019423999A1
10,Chemistry/Food chemistry,2019,PROCESSES AND DEVICES FOR FREEZING ORGANIC PRODUCTS,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=SG11202004578TA
11,Chemistry/Food chemistry,2019,PROCESSES AND DEVICES FOR FREEZING ORGANIC PRODUCTS,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=WO2020152695A1
12,Chemistry/Basic materials chemistry ,2018,ORGANIC METHOD FOR ENHANCING CONVENTIONAL JET FUEL AND BIO JET FUEL WITH EMISSIONS REDUCTION,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=WO2018219368A1
13,Chemistry/Basic materials chemistry ,2018,ORGANIC METHOD FOR ENHANCING CONVENTIONAL JET FUEL AND BIO JET FUEL WITH EMISSIONS REDUCTION,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=WO18219368A1
14,Chemistry/Basic materials chemistry ,2018,ORGANIC METHOD FOR ENHANCING CONVENTIONAL AVGAS AND BIOAVGAS WITH EMISSIONS REDUCTION,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=WO2018214996A1
15,Chemistry/Basic materials chemistry ,2018,ORGANIC METHOD FOR ENHANCING CONVENTIONAL AVGAS AND BIOAVGAS WITH EMISSIONS REDUCTION,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=WO18214996A1
16,Chemistry/Pharmaceuticals,2014,A production method of organic angelica and its organic product,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN105265134B
17,Mechanical engineering/Other special machines,2014,A production method of organic angelica and its organic product,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN105265134B
18,Chemistry/Basic materials chemistry ,2017,ORGANIC METHOD FOR ENHANCING CONVENTIONAL AVGAS AND BIOAVGAS WITH EMISSIONS REDUCTION,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CR20170211A
19,Chemistry/Basic materials chemistry ,2017,ORGANIC METHOD FOR ENHANCING CONVENTIONAL JET FUEL AND BIO JET FUEL WITH EMISSIONS REDUCTION,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CR20170214A
20,Chemistry/Food chemistry,2015,Bouillon and method for producing it,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=PL413553A1
21,Mechanical engineering/Other special machines,2014,A production method of organic angelica and its organic product,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=TW201603696A
22,Chemistry/Food chemistry,1998,A METHOD OF AND APPARATUS FOR DEHYDRATING A MOISTURE-CONTAINING ORGANIC PRODUCT,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=WO9905917A1
